distance,consume,speed,temp_inside,temp_outside,gas_type,AC,rain,sun,temp_diff,fuel_used,cost_of_trip
28.0,5.0,26,21.5,12,E10,0,0,0,9.5,1.4,2.758
12.0,4.2,30,21.5,13,E10,0,0,0,8.5,0.504,0.993
11.2,5.5,38,21.5,15,E10,0,0,0,6.5,0.616,1.214
12.9,3.9,36,21.5,14,E10,0,0,0,7.5,0.5031,0.991
18.5,4.5,46,21.5,15,E10,0,0,0,6.5,0.8325,1.64
8.3,6.4,50,21.5,10,E10,0,0,0,11.5,0.5312,1.046
7.8,4.4,43,21.5,11,E10,0,0,0,10.5,0.3432,0.676
12.3,5.0,40,21.5,6,E10,0,0,0,15.5,0.615,1.212
4.9,6.4,26,21.5,4,E10,0,0,0,17.5,0.31360000000000005,0.618
11.9,5.3,30,21.5,9,E10,0,0,0,12.5,0.6307,1.242
12.4,5.6,42,21.5,4,E10,0,0,0,17.5,0.6944,1.368
11.8,4.6,38,21.5,0,E10,0,0,0,21.5,0.5428000000000001,1.069
12.3,5.9,59,21.5,10,E10,0,0,0,11.5,0.7257000000000001,1.43
24.7,5.1,58,21.5,12,E10,0,0,0,9.5,1.2596999999999998,2.482
12.4,4.7,46,21.5,11,E10,0,0,0,10.5,0.5828,1.148
17.3,5.1,24,21.5,5,E10,0,0,0,16.5,0.8823000000000001,1.738
33.4,5.6,36,21.5,3,E10,0,0,0,18.5,1.8703999999999998,3.685
11.8,5.1,32,21.5,3,E10,0,0,0,18.5,0.6018,1.186
25.9,4.9,39,21.5,8,E10,0,0,0,13.5,1.2691,2.5
11.8,4.7,40,21.5,4,E10,0,0,0,17.5,0.5546000000000001,1.093
25.3,5.5,32,21.5,3,E10,0,0,0,18.5,1.3915,2.741
14.2,5.9,38,21.5,1,E10,0,0,0,20.5,0.8378,1.65
17.9,5.7,37,21.5,1,E10,0,0,0,20.5,1.0203,2.01
11.8,4.7,36,21.5,1,E10,0,0,0,20.5,0.5546000000000001,1.093
12.3,5.9,62,21.5,6,E10,0,0,0,15.5,0.7257000000000001,1.43
12.4,4.1,57,21.5,9,E10,0,0,0,12.5,0.5084,1.002
18.4,5.7,21,22.5,2,E10,0,0,0,20.5,1.0488,2.066
18.4,5.8,28,21.5,3,E10,0,0,0,18.5,1.0672,2.102
18.3,5.5,29,21.5,1,E10,0,0,0,20.5,1.0065,1.983
18.4,5.7,35,21.5,4,E10,0,0,0,17.5,1.0488,2.066
12.3,5.3,51,21.5,11,E10,0,0,0,10.5,0.6518999999999999,1.284
11.8,5.0,29,21.5,10,E10,0,0,0,11.5,0.59,1.162
12.3,5.6,58,21.5,8,E10,0,0,0,13.5,0.6888,1.357
32.6,4.8,40,21.5,7,E10,0,0,0,14.5,1.5648,3.083
19.0,4.3,36,21.5,7,E10,0,0,0,14.5,0.8170000000000001,1.609
12.1,5.7,36,21.5,8,E10,0,0,0,13.5,0.6897,1.359
20.0,5.2,37,21.5,4,E10,0,0,0,17.5,1.04,2.049
4.9,7.4,26,21.5,6,E10,0,0,0,15.5,0.36260000000000003,0.714
11.8,4.8,23,21.5,9,E10,0,0,0,12.5,0.5664,1.116
12.3,6.5,58,21.5,7,E10,0,0,0,14.5,0.7995,1.575
12.4,4.0,55,21.5,7,E10,1,1,0,14.5,0.496,0.977
4.5,5.0,29,21.5,7,E10,1,0,0,14.5,0.225,0.443
11.7,4.6,37,21.5,6,E10,0,0,0,15.5,0.5381999999999999,1.06
10.2,4.3,44,21.5,7,E10,0,0,0,14.5,0.43859999999999993,0.864
5.4,3.3,32,21.5,7,SP98,0,0,0,14.5,0.1782,0.409
2.0,9.9,21,21.5,4,SP98,0,0,0,17.5,0.198,0.454
14.2,5.1,32,21.5,7,SP98,0,0,0,14.5,0.7241999999999998,1.661
16.0,4.9,25,21.5,8,SP98,0,0,0,13.5,0.784,1.798
11.8,4.9,25,21.5,11,SP98,0,0,0,10.5,0.5782,1.326
27.3,4.7,36,21.5,10,SP98,0,0,0,11.5,1.2831000000000001,2.943
11.8,5.1,29,21.5,5,SP98,0,1,0,16.5,0.6018,1.381
10.6,4.9,63,21.5,6,SP98,0,0,0,15.5,0.5194000000000001,1.192
11.6,4.2,61,21.5,7,SP98,0,0,0,14.5,0.48719999999999997,1.118
13.1,6.1,46,21.5,6,SP98,0,1,0,15.5,0.7990999999999999,1.833
6.1,6.4,28,21.5,8,SP98,0,0,0,13.5,0.39039999999999997,0.896
153.5,4.9,82,21.5,3,SP98,0,1,0,18.5,7.5215000000000005,17.254
11.8,4.9,24,21.5,7,SP98,0,0,0,14.5,0.5782,1.326
12.3,6.2,61,21.5,8,SP98,0,0,0,13.5,0.7626000000000001,1.749
12.4,4.2,57,21.5,8,SP98,0,0,0,13.5,0.5208,1.195
12.3,5.7,52,21.5,8,SP98,0,1,0,13.5,0.7011,1.608
2.9,7.9,18,21.5,9,SP98,1,1,0,12.5,0.2291,0.526
2.1,12.2,23,21.5,9,SP98,1,1,0,12.5,0.2562,0.588
9.8,5.8,24,21.5,6,SP98,0,0,0,15.5,0.5684,1.304
6.8,5.3,26,21.5,6,SP98,0,0,0,15.5,0.3604,0.827
12.4,5.4,24,21.5,7,SP98,0,0,0,14.5,0.6696000000000001,1.536
12.4,4.7,57,21.5,8,SP98,0,0,0,13.5,0.5828,1.337
11.8,4.6,41,21.5,6,SP98,0,0,0,15.5,0.5428000000000001,1.245
12.3,5.4,55,21.5,8,SP98,0,0,0,13.5,0.6642,1.524
14.0,4.3,40,21.5,8,SP98,0,0,0,13.5,0.602,1.381
11.8,4.5,37,21.5,4,SP98,1,0,0,17.5,0.531,1.218
12.3,5.2,55,21.5,12,SP98,0,0,0,9.5,0.6396000000000001,1.467
2.0,6.2,20,21.5,10,SP98,0,0,0,11.5,0.124,0.284
13.9,5.1,29,21.5,6,SP98,0,0,0,15.5,0.7089,1.626
9.7,3.9,42,21.5,8,SP98,0,0,0,13.5,0.37829999999999997,0.868
11.6,5.0,25,21.5,6,SP98,0,0,0,15.5,0.58,1.331
14.2,5.4,38,21.5,7,SP98,0,0,0,14.5,0.7668,1.759
11.8,4.5,39,21.5,6,SP98,0,0,0,15.5,0.531,1.218
24.8,5.1,50,21.5,9,SP98,0,0,0,12.5,1.2648,2.901
12.4,4.7,56,21.5,7,SP98,0,0,0,14.5,0.5828,1.337
34.8,4.0,28,20.0,4,SP98,0,0,0,16.0,1.392,3.193
14.2,5.4,36,20.0,6,SP98,0,0,0,14.0,0.7668,1.759
5.2,4.5,39,20.0,10,SP98,0,0,0,10.0,0.234,0.537
